Page URL,Page Title,ILR,Raw ILR,Unique Pageviews,Crawl Depth,HTTP Status Code,"Page (HTML) Load Time, sec",Schema.org (Microdata),Schema.org (JSON-LD),Open Graph,Twitter Cards,Microformats,Canonicalization,In sitemap,Incoming Internal Links,Outgoing Internal Links,Outgoing External Links,AMP link,Hreflang Links,Hreflang Issues,JS and CSS Number,"JS and CSS Size, KB",Issues,Description,Blocked AI search bots
https://purpleheartlimo.com/,"Limo Service Austin, Dallas & Houston TX | Purple Heart Limo",100,0.04194952869951712,n/a,0,200,0.267,0,1,1,1,0,Self-canonical,1,95,88,9,0,2,0,7,25,8,"flat-rate limo & black car service in austin, dallas & houston — no surge pricing, 60-min free wait, texan-owned. 4.9★ from 214+ riders. book in 60 seconds. ☎ (833) 740-0700",
https://purpleheartlimo.com/about.html,About Us — Texan-Owned TX Limo Service | PHL,54,0.013322599137940535,n/a,1,200,0.165,0,1,1,1,0,Self-canonical,1,21,16,2,0,-,-,5,19,8,"learn about purple heart limo — texas's texan-owned luxury limousine company. serving austin, dallas-fort worth, and houston with professional.",
https://purpleheartlimo.com/blog/,Blog — Luxury Transportation Tips & Guides | PHL,83,0.015049725810621813,n/a,1,200,0.278,0,1,1,0,0,Self-canonical,1,26,57,1,0,-,-,3,4,4,"expert limo service tips, dfw & austin event guides, things to do in dallas & austin, wedding transportation advice and more from purple heart limo.",
https://purpleheartlimo.com/blog/5-myths-about-limousine-services-in-austin-debunked/,5 Austin Limo Myths Debunked | Purple Heart Limo,21,0.0056050802400729426,n/a,2,200,0.22,0,1,1,0,0,Self-canonical,1,3,17,1,0,-,-,3,4,4,"limos are only for celebrities. too expensive. you have to book months ahead. wrong, wrong, and mostly wrong.",
https://purpleheartlimo.com/blog/5-tips-for-booking-a-limo-in-austin-for-your-special-event/,5 Tips for Booking an Austin Event Limo | Purple Heart Limo,21,0.0056050802400729426,n/a,2,200,0.223,0,1,1,0,0,Self-canonical,1,3,17,1,0,-,-,3,4,4,planning a special event in austin? these 5 tips will help you book the right limo service.,
https://purpleheartlimo.com/blog/addison-restaurant-row.html,Addison Texas Restaurant Row Guide | PHL,42,0.007727439279493636,n/a,1,200,0.235,0,1,0,0,0,Self-canonical,1,7,10,0,0,-,-,3,4,3,addison texas has more restaurants per capita than any other city in the united states — here is what you need to know,
https://purpleheartlimo.com/blog/airport-transfers-made-easy-stress-free-travel-with-limo-services/,Stress-Free Airport Transfers by Limo | Purple Heart Limo,13,0.005448602988376266,n/a,2,200,0.216,0,1,1,0,0,Self-canonical,1,2,17,1,0,-,-,3,4,4,"austin-bergstrom international airport (aus) limo service — flat-rate transfers, flight tracking, 60 minutes free wait time.",
https://purpleheartlimo.com/blog/arlington-entertainment.html,Arlington Entertainment District Guide | PHL,42,0.007727439279493636,n/a,1,200,0.146,0,1,0,0,0,Self-canonical,1,7,10,0,0,-,-,3,4,3,arlington has assembled one of the most impressive sports and entertainment districts in the united states within half a mile,
https://purpleheartlimo.com/blog/best-restaurants-dfw.html,Top 10 Restaurants in DFW Worth Arriving in a Limo | Purple Heart Limo,42,0.007727439279493636,n/a,1,200,0.165,0,1,1,0,0,Self-canonical,1,7,10,0,0,-,-,3,4,3,"top dfw restaurants worth arriving in style — al biernat's, ellerbe fine foods, knife dallas and more",
https://purpleheartlimo.com/blog/bishop-arts-dallas.html,Bishop Arts District Dallas Guide | PHL,42,0.007727439279493636,n/a,1,200,0.194,0,1,0,0,0,Self-canonical,1,7,10,0,0,-,-,3,4,3,the bishop arts district is the part of dallas that surprises visitors most — two blocks of vintage buildings with some of the best independent restaurants,
https://purpleheartlimo.com/blog/christmas-dfw.html,Christmas in Dallas-Fort Worth 2025 Guide | PHL,42,0.007727439279493636,n/a,1,200,0.169,0,1,0,0,0,Self-canonical,1,7,10,0,0,-,-,3,4,3,christmas in dfw has become one of the best holiday experiences in the south — from gaylord texan ice to the dallas arboretum garden of lights,
https://purpleheartlimo.com/blog/corporate-transportation-dfw.html,DFW Corporate Transportation Guide | PHL,42,0.007727439279493636,n/a,1,200,0.151,0,1,1,0,0,Self-canonical,1,7,10,0,0,-,-,3,4,3,"if your company still relies on rideshare apps for executive transportation in dfw, you are leaving a significant impression on every client who experience",
https://purpleheartlimo.com/blog/dallas-arts-district.html,Dallas Arts District: The Complete Culture Guide | Purple Heart Limo,42,0.007727439279493636,n/a,1,200,0.142,0,1,1,0,0,Self-canonical,1,7,10,0,0,-,-,3,4,3,the largest urban arts district in the united states spans 68 acres in the heart of dallas — here is how to experience it,
https://purpleheartlimo.com/blog/dallas-cowboys-game-limo.html,Dallas Cowboys Game — AT&T Stadium Guide | PHL,42,0.007727439279493636,n/a,1,200,0.172,0,1,1,0,0,Self-canonical,1,7,10,0,0,-,-,3,4,3,skip the at&t stadium parking nightmare and arrive like you meant to — here is everything you need to know,
https://purpleheartlimo.com/blog/dallas-hotels-guide.html,Best Luxury Hotels in Dallas | Purple Heart Limo,42,0.007727439279493636,n/a,1,200,0.02,0,1,0,0,0,Self-canonical,1,7,10,0,0,-,-,3,4,3,dallas competes seriously with new york and chicago at the luxury hotel level — here are the properties that define the experience,
https://purpleheartlimo.com/blog/dallas-luxury-shopping.html,Luxury Shopping in Dallas Guide | PHL,42,0.007727439279493636,n/a,1,200,0.19,0,1,0,0,0,Self-canonical,1,7,10,0,0,-,-,3,4,3,dallas takes fashion seriously year-round and has some of the best luxury retail in the united states — here is where to go,
https://purpleheartlimo.com/blog/dallas-mavericks-limo.html,Dallas Mavericks Game Night Transportation | PHL,42,0.007727439279493636,n/a,1,200,0.02,0,1,1,0,0,Self-canonical,1,7,10,0,0,-,-,3,4,3,get to american airlines center without the victory park parking headache — the smart way to attend a mavs game,
https://purpleheartlimo.com/blog/dallas-medical-transport.html,DFW Medical Transportation Concierge | PHL,42,0.007727439279493636,n/a,1,200,0.018,0,1,0,0,0,Self-canonical,1,7,10,0,0,-,-,3,4,3,"dallas-fort worth is a major medical destination home to ut southwestern, baylor scott and white, and children's health — patients traveling for care deser",
https://purpleheartlimo.com/blog/dallas-nightlife.html,Dallas Nightlife Guide 2026 — Bars & Clubs | PHL,42,0.007727439279493636,n/a,1,200,0.147,0,1,1,0,0,Self-canonical,1,7,10,0,0,-,-,3,4,3,dallas nightlife spans a dozen neighborhoods each with a distinct personality — here is your insider guide to all of them,
